,Rank,State,GSDP(18-19) at Current Price,GSDP(19-20) at Current Price,Share(18-19),GDP(Billion)
0,1,Maharashtra,"26,32,792",-,13.94%,399.921
1,2,Tamil Nadu,"16,30,208","18,45,853",8.63%,247.629
2,3,Uttar Pradesh,"15,84,764","16,87,818",8.39%,240.726
3,4,Gujarat,"15,02,899",-,7.96%,228.29
4,5,Karnataka,"14,93,127","16,31,977",7.91%,226.806
5,6,West Bengal,"10,89,898","12,53,832",5.77%,165.556
6,7,Rajasthan,"9,42,586","10,20,989",4.99%,143.179
7,8,Andhra Pradesh,"8,62,957","9,72,782",4.57%,131.083
8,9,Telangana,"8,61,031","9,69,604",4.56%,130.791
9,10,Madhya Pradesh,"8,09,592","9,06,672",4.29%,122.977
10,11,Kerala,"7,81,653",-,4.14%,118.733
11,12,Delhi,"7,74,870","8,56,112",4.10%,117.703
12,13,Haryana,"7,34,163","8,31,610",3.89%,111.519
13,14,Bihar,"5,30,363","6,11,804",2.81%,80.562
14,15,Punjab,"5,26,376","5,74,760",2.79%,79.957
15,16,Odisha,"4,87,805","5,21,275",2.58%,74.098
16,17,Assam,"3,15,881",-,1.67%,47.982
17,18,Chhattisgarh,"3,04,063","3,29,180",1.61%,46.187
18,19,Jharkhand,"2,97,204","3,28,598",1.57%,45.145
19,20,Uttarakhand,"2,45,895",-,1.30%,37.351
20,21,Jammu & Kashmir,"1,55,956",-,0.83%,23.69
21,22,Himachal Pradesh,"1,53,845","1,65,472",0.81%,23.369
22,23,Goa,"73,170","80,449",0.39%,11.115
23,24,Tripura,"49,845","55,984",0.26%,7.571
24,25,Chandigarh,"42,114",-,0.22%,6.397
25,26,Puducherry,"34,433","38,253",0.18%,5.23
26,27,Meghalaya,"33,481","36,572",0.18%,5.086
27,28,Sikkim,"28,723","32,496",0.15%,4.363
28,29,Manipur,"27,870","31,790",0.15%,4.233
29,30,Nagaland,"27,283",-,0.14%,4.144
30,31,Arunachal Pradesh,"24,603",-,0.13%,3.737
31,32,Mizoram,"22,287","26,503",0.12%,3.385
32,33,Andaman & Nicobar Islands,-,-,-,-
