,TV Series Name,Year Span,Genre,Run Time,Ratings,Votes
0,Game of Thrones,(2011–2019),"Action, Adventure, Drama",57 min,9.2,"2,172,090"
1,Stranger Things,(2016–2024),"Drama, Fantasy, Horror",51 min,8.7,"1,250,133"
2,The Walking Dead,(2010–2022),"Drama, Horror, Thriller",44 min,8.1,"1,031,715"
3,13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.5,"303,381"
4,The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,"262,563"
5,Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8.1,"310,502"
6,Riverdale,(2017–2023),"Crime, Drama, Mystery",45 min,6.6,"149,417"
7,Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.6,"323,542"
8,The Flash,(2014–2023),"Action, Adventure, Drama",43 min,7.5,"359,286"
9,Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,"438,582"
10,Money Heist,(2017–2021),"Action, Crime, Drama",70 min,8.2,"498,424"
11,The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.2,"831,657"
12,Black Mirror,(2011– ),"Drama, Mystery, Sci-Fi",60 min,8.8,"585,969"
13,Sherlock,(2010–2017),"Crime, Drama, Mystery",88 min,9.1,"953,948"
14,Vikings,(2013–2020),"Action, Adventure, Drama",44 min,8.5,"553,615"
15,Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,"172,463"
16,The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,"332,597"
17,American Horror Story,(2011– ),"Drama, Horror, Sci-Fi",60 min,8,"328,011"
18,Breaking Bad,(2008–2013),"Crime, Drama, Thriller",49 min,9.5,"1,990,497"
19,Lucifer,(2016–2021),"Crime, Drama, Fantasy",42 min,8.1,"337,719"
20,Supernatural,(2005–2020),"Drama, Fantasy, Horror",44 min,8.4,"460,575"
21,Prison Break,(2005–2017),"Action, Crime, Drama",44 min,8.3,"553,791"
22,How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",43 min,8.1,"158,268"
23,Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,7.7,"156,447"
24,The Simpsons,(1989– ),"Animation, Comedy",22 min,8.7,"419,199"
25,Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",60 min,7.7,"230,061"
26,Narcos,(2015–2017),"Biography, Crime, Drama",49 min,8.8,"444,229"
27,Daredevil,(2015–2018),"Action, Crime, Drama",54 min,8.6,"454,755"
28,Friends,(1994–2004),"Comedy, Romance",22 min,8.9,"1,030,403"
29,How I Met Your Mother,(2005–2014),"Comedy, Drama, Romance",22 min,8.3,"702,862"
30,Suits,(2011–2019),"Comedy, Drama",44 min,8.4,"427,867"
31,Mr. Robot,(2015–2019),"Crime, Drama, Thriller",49 min,8.5,"400,073"
32,The Originals,(2013– ),"Drama, Fantasy, Horror",45 min,8.3,"141,276"
33,Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,6.2,"126,931"
34,Gossip Girl,(2007–2012),"Drama, Romance",42 min,7.5,"181,626"
35,Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,8.2,"158,330"
36,Gotham,(2014–2019),"Action, Crime, Drama",42 min,7.8,"235,423"
37,Westworld,(2016–2022),"Drama, Mystery, Sci-Fi",62 min,8.5,"516,795"
38,Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,7.9,"220,040"
39,Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,8.5,"452,860"
40,Rick and Morty,(2013– ),"Animation, Adventure, Comedy",23 min,9.1,"555,332"
41,Shadowhunters,(2016–2019),"Action, Drama, Fantasy",42 min,6.5,"66,867"
42,The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8,"204,102"
43,House of Cards,(2013–2018),Drama,51 min,8.7,"515,859"
44,Dark,(2017–2020),"Crime, Drama, Mystery",60 min,8.7,"411,526"
45,Elite,(2018– ),"Crime, Drama, Thriller",60 min,7.3,"84,692"
46,Sex Education,(2019– ),"Comedy, Drama",45 min,8.3,"302,428"
47,Shameless,(2011–2021),"Comedy, Drama",46 min,8.6,"257,131"
48,New Girl,(2011–2018),"Comedy, Romance",22 min,7.8,"234,582"
49,Agents of S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,7.5,"221,143"
50,You,(2018–2024),"Crime, Drama, Romance",45 min,7.7,"280,111"
51,Dexter,(2006–2013),"Crime, Drama, Mystery",53 min,8.7,"740,404"
52,Fear the Walking Dead,(2015–2023),"Drama, Horror, Sci-Fi",44 min,6.8,"135,858"
53,Family Guy,(1999– ),"Animation, Comedy",22 min,8.2,"351,598"
54,The Blacklist,(2013–2023),"Crime, Drama, Mystery",43 min,8,"264,168"
55,Lost,(2004–2010),"Adventure, Drama, Fantasy",44 min,8.3,"570,073"
56,Peaky Blinders,(2013–2022),"Crime, Drama",60 min,8.8,"585,448"
57,House,(2004–2012),"Drama, Mystery",44 min,8.7,"481,805"
58,Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,6.7,"62,412"
59,Orphan Black,(2013–2017),"Drama, Sci-Fi, Thriller",44 min,8.3,"113,651"
60,Homeland,(2011–2020),"Crime, Drama, Mystery",55 min,8.3,"350,331"
61,Blindspot,(2015–2020),"Action, Crime, Drama",42 min,7.3,"76,537"
62,DC's Legends of Tomorrow,(2016–2022),"Action, Adventure, Drama",42 min,6.8,"107,655"
63,The Handmaid's Tale,(2017– ),"Drama, Sci-Fi, Thriller",60 min,8.4,"247,540"
64,Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,7.4,"101,345"
65,The Good Doctor,(2017– ),Drama,41 min,8,"103,867"
66,Jane the Virgin,(2014–2019),Comedy,60 min,7.9,"54,721"
67,Glee,(2009–2015),"Comedy, Drama, Music",44 min,6.8,"151,948"
68,South Park,(1997– ),"Animation, Comedy",22 min,8.7,"389,774"
69,Brooklyn Nine-Nine,(2013–2021),"Comedy, Crime",22 min,8.4,"334,884"
70,Under the Dome,(2013–2015),"Drama, Mystery, Sci-Fi",43 min,6.5,"109,387"
71,The Umbrella Academy,(2019–2023),"Action, Adventure, Comedy",60 min,7.9,"259,021"
72,True Detective,(2014– ),"Crime, Drama, Mystery",55 min,8.9,"597,986"
73,The OA,(2016–2019),"Drama, Fantasy, Mystery",60 min,7.8,"109,047"
74,Desperate Housewives,(2004–2012),"Comedy, Drama, Mystery",45 min,7.6,"133,435"
75,Better Call Saul,(2015–2022),"Crime, Drama",46 min,9,"582,555"
76,Bates Motel,(2013–2017),"Drama, Horror, Mystery",45 min,8.1,"112,110"
77,The Punisher,(2017–2019),"Action, Crime, Drama",53 min,8.5,"248,877"
78,Atypical,(2017–2021),"Comedy, Drama",30 min,8.2,"96,303"
79,Dynasty,(2017–2022),Drama,42 min,7.3,"23,821"
80,This Is Us,(2016–2022),"Comedy, Drama, Romance",45 min,8.7,"150,208"
81,The Good Place,(2016–2020),"Comedy, Drama, Fantasy",22 min,8.2,"173,349"
82,Iron Fist,(2017–2018),"Action, Adventure, Crime",55 min,6.4,"135,248"
83,The Rain,(2018–2020),"Drama, Sci-Fi, Thriller",45 min,6.3,"39,359"
84,Mindhunter,(2017–2019),"Crime, Drama, Mystery",60 min,8.6,"307,820"
85,Revenge,(2011–2015),"Drama, Mystery, Thriller",44 min,7.8,"122,318"
86,Luke Cage,(2016–2018),"Action, Crime, Drama",55 min,7.3,"135,260"
87,Scandal,(2012–2018),"Drama, Thriller",43 min,7.7,"76,847"
88,The Defenders,(2017),"Action, Adventure, Crime",50 min,7.2,"112,108"
89,Big Little Lies,(2017–2019),"Crime, Drama, Mystery",60 min,8.5,"211,131"
90,Insatiable,(2018–2019),"Comedy, Drama, Thriller",45 min,6.5,"30,704"
91,The Mentalist,(2008–2015),"Crime, Drama, Mystery",43 min,8.2,"191,667"
